trace,admissible,L_class_number,commutator_class_number,walks
39918,True,52,52.0,20.615384615384617
39954,True,48,48.0,19.333333333333332
40002,True,136,136.0,20.926470588235293
40174,True,52,52.0,19.846153846153847
40194,True,50,50.0,18.96
40210,True,40,40.0,19.4
40302,True,96,96.0,20.083333333333332
40338,True,70,70.0,19.65714285714286
40430,True,72,72.0,19.22222222222222
40446,True,28,28.0,21.428571428571427
40466,True,24,24.0,17.666666666666668
40638,True,28,28.0,20.0
40686,True,72,72.0,20.333333333333332
40722,True,58,58.0,19.17241379310345
40770,True,36,36.0,19.11111111111111
40894,True,60,60.0,18.666666666666668
40962,True,128,128.0,20.0625
41070,True,72,72.0,18.555555555555557
41106,True,68,68.0,17.88235294117647
41150,True,8,8.0,19.0
41214,True,68,68.0,18.235294117647058
41218,True,74,74.0,18.864864864864863
41326,True,24,24.0,19.666666666666668
41362,True,44,44.0,20.636363636363637
41406,True,88,88.0,20.272727272727273
41454,True,72,72.0,18.88888888888889
41470,True,44,44.0,18.545454545454547
41474,True,36,36.0,20.444444444444443
41490,True,76,76.0,19.473684210526315
41538,True,64,64.0,18.9375
41582,True,38,38.0,23.263157894736842
41618,True,66,66.0,21.757575757575758
41726,True,58,58.0,19.103448275862068
41730,True,44,44.0,19.09090909090909
41794,True,4,4.0,18.0
41838,True,80,80.0,19.7
41874,True,70,70.0,20.114285714285714
41982,True,60,60.0,19.733333333333334
42050,True,106,106.0,19.245283018867923
42174,True,32,32.0,18.75
42222,True,76,76.0,18.736842105263158
42258,True,84,84.0,19.238095238095237
42306,True,28,28.0,18.0
42478,True,24,24.0,20.0
42498,True,100,100.0,19.44
42514,True,50,50.0,20.8
42606,True,60,60.0,20.133333333333333
42642,True,46,46.0,18.434782608695652
42734,True,24,24.0,17.666666666666668
42750,True,160,160.0,19.1
42770,True,84,84.0,20.666666666666668
42942,True,134,134.0,20.0
42990,True,88,88.0,19.363636363636363
43026,True,56,56.0,18.714285714285715
43074,True,50,50.0,19.44
43198,True,16,16.0,18.5
43266,True,149,149.0,20.469798657718123
43374,True,44,44.0,18.363636363636363
43410,True,82,82.0,19.317073170731707
43454,True,94,94.0,20.893617021276597
43518,True,52,52.0,18.923076923076923
43522,True,8,8.0,18.0
43630,True,48,48.0,19.5
43666,True,22,22.0,19.272727272727273
43710,True,60,60.0,17.866666666666667
43758,True,92,92.0,19.391304347826086
43774,True,18,18.0,18.0
43778,True,10,10.0,18.0
43794,True,68,68.0,20.823529411764707
43842,True,54,54.0,21.62962962962963
43886,True,30,30.0,19.6
43922,True,10,10.0,18.4
44030,True,24,24.0,20.333333333333332
44034,True,46,46.0,21.73913043478261
44098,True,52,52.0,19.076923076923077
44142,True,36,36.0,19.77777777777778
44178,True,110,110.0,18.69090909090909
44286,True,40,40.0,21.6
44354,True,10,10.0,18.0
44478,True,100,100.0,18.72
44526,True,100,100.0,20.16
44562,True,84,84.0,19.19047619047619
44610,True,194,194.0,19.38144329896907
44782,True,48,48.0,20.5
44802,True,72,72.0,19.833333333333332
44818,True,32,32.0,18.0
44910,True,92,92.0,20.304347826086957
44946,True,96,96.0,21.166666666666668
45038,True,48,48.0,19.666666666666668
45054,True,84,84.0,18.761904761904763
45074,True,40,40.0,19.8
45246,True,56,56.0,20.285714285714285
45294,True,80,80.0,20.8
45330,True,68,68.0,18.58823529411765
45378,True,44,44.0,19.0
45502,True,44,44.0,19.0
45570,True,66,66.0,19.87878787878788
45678,True,76,76.0,19.05263157894737
45714,True,36,36.0,19.333333333333332
45758,True,20,20.0,22.4
45822,True,58,58.0,20.896551724137932
45826,True,20,20.0,20.8
45934,True,12,12.0,19.333333333333332
45970,True,84,84.0,19.857142857142858
46014,True,88,88.0,21.454545454545453
46062,True,72,72.0,19.555555555555557
46078,True,56,56.0,20.857142857142858
46082,True,40,40.0,19.0
46098,True,144,144.0,21.38888888888889
46146,True,68,68.0,19.529411764705884
46190,True,16,16.0,19.0
46226,True,32,32.0,18.25
46334,True,36,36.0,20.0
46338,True,56,56.0,19.0
46402,True,36,36.0,21.77777777777778
46446,True,56,56.0,19.0
46482,True,76,76.0,20.0
46590,True,64,64.0,19.5
46658,True,114,114.0,21.894736842105264
46782,True,36,36.0,20.88888888888889
46830,True,84,84.0,18.476190476190474
46866,True,76,76.0,19.57894736842105
46914,True,30,30.0,22.4
47086,True,24,24.0,22.166666666666668
47106,True,92,92.0,21.217391304347824
47122,True,30,30.0,22.666666666666668
47214,True,84,84.0,19.80952380952381
47250,True,64,64.0,19.25
47342,True,68,68.0,20.235294117647058
47358,True,52,52.0,20.76923076923077
47378,True,24,24.0,17.5
47550,True,224,224.0,19.214285714285715
47598,True,88,88.0,19.40909090909091
47634,True,112,112.0,20.071428571428573
47682,True,86,86.0,18.651162790697676
47806,True,22,22.0,24.545454545454547
47874,True,72,72.0,19.333333333333332
47982,True,108,108.0,22.37037037037037
48018,True,118,118.0,19.593220338983052
48062,True,40,40.0,19.4
48126,True,106,106.0,19.81132075471698
48130,True,60,60.0,19.733333333333334
48238,True,72,72.0,20.444444444444443
48274,True,32,32.0,19.75
48318,True,18,18.0,19.11111111111111
48366,True,30,30.0,22.666666666666668
48382,True,24,24.0,18.666666666666668
48386,True,36,36.0,17.77777777777778
48402,True,91,91.0,22.021978021978022
48450,True,50,50.0,19.92
48494,True,28,28.0,18.571428571428573
48530,True,84,84.0,19.333333333333332
48638,True,28,28.0,20.0
48642,True,40,40.0,20.4
48706,True,28,28.0,18.0
48750,True,116,116.0,19.724137931034484
48786,True,38,38.0,18.42105263157895
48894,True,164,164.0,19.609756097560975
48962,True,16,16.0,20.0
49086,True,112,112.0,19.642857142857142
49134,True,96,96.0,20.083333333333332
49170,True,92,92.0,19.652173913043477
49218,True,120,120.0,18.6
49390,True,28,28.0,20.285714285714285
49410,True,152,152.0,19.210526315789473
49426,True,60,60.0,19.866666666666667
49518,True,80,80.0,19.7
49554,True,68,68.0,19.764705882352942
49646,True,38,38.0,20.105263157894736
49662,True,64,64.0,20.5
49682,True,40,40.0,19.6
49854,True,38,38.0,20.105263157894736
