trace,admissible,L_class_number,commutator_class_number,walks
20994,True,288,30,52.15277777777778
21058,True,864,64,40.773148148148145
21102,True,170,64,51.62352941176471
21138,True,136,36,58.73529411764706
21246,True,280,26,54.357142857142854
21314,True,444,11,49.486486486486484
21438,True,368,58,48.84782608695652
21486,True,104,38,61.30769230769231
21522,True,96,28,62.833333333333336
21570,True,336,44,53.51190476190476
21742,True,140,12,59.97142857142857
21762,True,480,54,47.78333333333333
21778,True,312,30,47.34615384615385
21870,True,192,62,53.145833333333336
21906,True,111,57,57.2972972972973
21998,True,240,10,52.666666666666664
22014,True,324,40,51.135802469135804
22034,True,204,18,53.705882352941174
22206,True,224,22,55.92857142857143
22254,True,120,44,59.8
22290,True,184,60,54.0
22338,True,384,30,50.239583333333336
22462,True,960,40,40.983333333333334
22530,True,448,68,49.455357142857146
22638,True,132,40,57.333333333333336
22674,True,144,46,58.05555555555556
22718,True,576,16,46.173611111111114
22782,True,288,40,53.75
22786,True,576,24,47.861111111111114
22894,True,288,20,48.388888888888886
22930,True,280,18,51.48571428571429
22974,True,260,48,55.55384615384615
23022,True,120,36,63.0
23038,True,600,8,49.6
23042,True,648,24,46.48765432098765
23058,True,160,64,54.975
23106,True,380,82,50.04736842105263
23150,True,366,36,47.90163934426229
23186,True,160,14,60.125
23294,True,600,16,46.18666666666667
23298,True,336,28,53.773809523809526
23362,True,480,6,50.40833333333333
23406,True,112,44,60.857142857142854
23442,True,144,40,58.388888888888886
23550,True,464,50,49.46551724137931
23618,True,640,14,47.225
23742,True,288,20,57.15277777777778
23790,True,192,60,53.979166666666664
23826,True,104,28,64.57692307692308
23874,True,208,16,61.44230769230769
24046,True,234,20,57.14529914529915
24066,True,216,32,60.01851851851852
24082,True,256,24,55.15625
24174,True,126,48,58.507936507936506
24210,True,160,46,58.75
24302,True,430,52,45.22790697674419
24318,True,448,64,49.017857142857146
24338,True,390,50,47.16923076923077
24510,True,376,72,55.62765957446808
24558,True,168,48,56.19047619047619
24594,True,96,30,66.33333333333333
24642,True,512,72,48.609375
24766,True,400,10,52.54
24834,True,496,60,47.685483870967744
24942,True,152,60,58.921052631578945
24978,True,160,48,59.375
