trace,L_class_number,commutator_class_number,genus
18366,360,48,1
18414,66,28,1
18430,840,48,1
18434,420,14,1
18450,172,44,1
18498,408,84,1
18542,320,26,1
18578,192,16,2
18686,384,4,2
18690,384,60,1
18754,432,12,2
18798,112,48,1
18834,80,22,2
18942,240,24,1
19010,896,34,1
19134,192,16,2
19182,112,34,"[[(6, 50, 122), (10, 34, 78), (10, 38, 66), (22, 22, 46)], array([list([[-28331, 9640], [-26888, 9149]]),
       list([[-28075, 9512], [-26248, 8893]]),
       list([[-30347, 11768], [-28792, 11165]]),
       list([[-21131, 7160], [-5752, 1949]])], dtype=object)]"
19218,132,50,1
19266,192,12,2
19438,208,16,"[[(6, 66, 74), (14, 22, 94)], array([list([[-35459, 16968], [-33480, 16021]]),
       list([[-20819, 1608], [-17880, 1381]])], dtype=object)]"
19458,224,30,1
19474,180,8,2
19566,120,38,1
19602,155,59,1
19694,246,36,1
19710,384,44,2
19730,280,22,1
19902,660,128,1
19950,140,40,2
19986,84,28,1
20034,336,50,1
20158,432,12,2
20226,240,24,1
20334,112,38,1
20370,152,50,"[[(-6, 34, 70), (-14, 14, 74), (-6, 14, 106)], array([list([[17949, 14408], [3016, 2421]]),
       list([[16829, 14408], [4136, 3541]])], dtype=object)]"
20414,648,38,1
20478,300,48,1
20482,552,32,"[[(-6, 6, 126)], array([list([[19841, 16560], [768, 641]])], dtype=object)]"
20590,252,32,1
20626,144,8,2
20670,416,36,2
20718,136,44,"[[(6, 62, 86), (10, 30, 122), (14, 38, 46)], array([list([[-30659, 10568], [-28840, 9941]]),
       list([[-29699, 10088], [-26440, 8981]]),
       list([[-36539, 16840], [-34328, 15821]]),
       list([[-21051, 3032], [-2312, 333]])], dtype=object)]"
20734,416,24,2
20738,720,59,1
20754,112,32,1
20802,336,34,"[[(-22, 22, 38), (-10, 10, 102)], array([list([[18761, 12400], [3088, 2041]]),
       list([[20105, 13072], [1072, 697]])], dtype=object)]"
20846,128,8,2
20882,432,54,1
20990,648,24,1
20994,288,30,2
21058,864,64,1
21102,170,64,1
21138,136,36,1
21246,280,26,2
21314,444,11,2
21438,368,58,1
21486,104,38,"[[(10, 30, 146), (10, 50, 54)], array([list([[-32275, 11512], [-30248, 10789]]),
       list([[-28915, 9832], [-21848, 7429]]),
       list([[-22067, 9832], [-1304, 581]]),
       list([[-21059, 4664], [1928, -427]])], dtype=object)]"
21522,96,28,2
21570,336,44,1
21742,140,12,1
21762,480,54,"[[(-22, 26, 34), (-10, 30, 58), (-6, 34, 74), (-14, 14, 78), (-6, 22, 94)], array([list([[15313, 10304], [9584, 6449]]),
       list([[16753, 10304], [8144, 5009]]),
       list([[18097, 8512], [7792, 3665]]),
       list([[19249, 7792], [6208, 2513]])], dtype=object)]"
21778,312,30,1
21870,192,62,1
21906,111,57,1
21998,240,10,1
22014,324,40,1
22034,204,18,2
22206,224,22,2
22254,120,44,1
22290,184,60,2
22338,384,30,"[[(-6, 38, 70), (-10, 22, 74), (-6, 10, 122)], array([list([[16969, 10448], [8720, 5369]]),
       list([[15817, 10448], [9872, 6521]])], dtype=object)]"
22462,960,40,1
22530,448,68,1
22638,132,40,1
22674,144,46,2
22718,576,16,2
22782,288,40,1
22786,576,24,1
22894,288,20,1
22930,280,18,2
22974,260,48,1
23022,120,36,1
23038,600,8,2
23042,648,24,1
23058,160,64,1
23106,380,82,1
23150,366,36,1
23186,160,14,1
23294,600,16,2
23298,336,28,"[[(-14, 38, 38), (-10, 42, 46), (-6, 50, 58), (-10, 18, 86), (-10, 10, 110)], array([list([[22289, 20080], [1120, 1009]])], dtype=object)]"
23362,480,6,"[[(-6, 54, 54)], array([list([[21785, 1776], [19344, 1577]])], dtype=object)]"
23406,112,44,2
23442,144,40,1
23550,464,50,1
23618,640,14,2
23742,288,20,"[[(6, 58, 118), (10, 38, 86), (10, 42, 74), (22, 22, 58)], array([list([[-35111, 11920], [-33488, 11369]]),
       list([[-34855, 11792], [-32848, 11113]]),
       list([[-37671, 14608], [-35920, 13929]]),
       list([[-26151, 8848], [-7120, 2409]])], dtype=object)]"
23790,192,60,1
23826,104,28,1
23874,208,16,2
24046,234,20,1
24066,216,32,1
24082,256,24,"[[(-6, 6, 138)], array([list([[23381, 19512], [840, 701]])], dtype=object)]"
24174,126,48,1
24210,160,46,1
24302,430,52,1
24318,448,64,2
24338,390,50,1
24510,376,72,1
24558,168,48,1
24594,96,30,1
24642,512,72,2
24766,400,10,"[[(6, 70, 90)], array([list([[-41543, 17904], [-38928, 16777]]),
       list([[-30119, 6096], [-26448, 5353]]),
       list([[-40583, 18096], [-35472, 15817]]),
       list([[-24167, 4944], [2928, -599]])], dtype=object)]"
24834,496,60,1
24942,152,60,1
24978,160,48,1
