"trace","L_class_number","commutator_class_number","genus"
57666,50,50.,0
57710,80,80.,0
57746,26,26.,0
57854,24,24.,0
57858,56,56.,0
57922,44,44.,0
57966,76,76.,0
58002,108,108.,0
58110,122,122.,0
58178,14,14.,0
58302,188,188.,0
58350,128,128.,0
58386,110,110.,0
58434,172,172.,0
58606,56,56.,0
58626,90,90.,0
58642,42,42.,0
58734,64,64.,0
58770,128,128.,0
58862,38,38.,0
58878,84,84.,0
58898,56,56.,0
59070,48,48.,0
59118,92,92.,0
59154,108,108.,0
59202,66,66.,0
59326,36,36.,0
59394,80,80.,0
59502,146,146.,0
59538,106,106.,0
59582,8,8.,0
59646,64,64.,0
59650,78,78.,0
59758,28,28.,0
59794,58,58.,0
59838,124,124.,0
59886,80,80.,0
59902,68,68.,0
59906,12,12.,0
59922,52,52.,0
59970,236,236.,0
60014,20,20.,0
60050,48,48.,0
60158,28,28.,0
60162,80,80.,0
60226,32,32.,0
60270,96,96.,0
60306,100,100.,0
60414,84,84.,0
60482,92,92.,0
60606,46,46.,0
60654,98,98.,0
60690,94,94.,0
60738,68,68.,0
60910,60,60.,0
60930,80,80.,0
60946,22,22.,0
61038,84,84.,0
61074,84,84.,0
61166,52,52.,0
61182,126,126.,0
61202,50,50.,0
61374,134,134.,0
61422,76,76.,0
61458,90,90.,0
61506,189,189.,0
61630,42,42.,0
61698,128,128.,0
61806,76,76.,0
61842,78,78.,0
61886,52,52.,0
61950,92,92.,0
61954,38,38.,0
62062,58,58.,0
62098,48,48.,0
62142,40,40.,0
62190,148,148.,0
62206,48,48.,0
62210,40,40.,0
62226,48,48.,0
62274,36,36.,0
62318,48,48.,0
62354,52,52.,0
62462,120,120.,0
62466,130,130.,0
62530,116,116.,0
62574,88,88.,0
62610,102,102.,0
62718,60,60.,0
62786,24,24.,0
62910,184,184.,0
62958,60,60.,0
62994,144,144.,0
63042,84,84.,0
63214,36,36.,0
63234,60,60.,0
63250,88,88.,0
63342,120,120.,0
63378,76,76.,0
63470,70,70.,0
63486,64,64.,0
63506,89,89.,0
63678,56,56.,0
63726,66,66.,0
63762,116,116.,0
63810,64,64.,0
63934,72,72.,0
64002,76,76.,0
64110,104,104.,0
64146,84,84.,0
64190,32,32.,0
64254,100,100.,0
64258,44,44.,0
64366,16,16.,0
64402,56,56.,0
